Region,State,Name,Township
Central Burma,Magway Region,Gangaw District,Gangaw Township
Central Burma,Magway Region,Gangaw District,Tilin Township 
Central Burma,Magway Region,Gangaw District,Saw Township
Central Burma,Magway Region,Magway District,Magway Township
Central Burma,Magway Region,Magway District,Yenangyaung Township
Central Burma,Magway Region,Magway District,Chauck Township
Central Burma,Magway Region,Magway District,Taungdwingyi Township
Central Burma,Magway Region,Magway District,Myothit Township
Central Burma,Magway Region,Magway District,Natmauk Township
Central Burma,Magway Region,Minbu District,Minbu Township
Central Burma,Magway Region,Minbu District,Pwintbyu Township
Central Burma,Magway Region,Minbu District,Ngape Township
Central Burma,Magway Region,Minbu District,Salin Township
Central Burma,Magway Region,Minbu District,Sidoktaya Township
Central Burma,Magway Region,Pakokku District,Myaing Township
Central Burma,Magway Region,Pakokku District,Pakokku Township
Central Burma,Magway Region,Pakokku District,Pauk Township
Central Burma,Magway Region,Pakokku District,Seikphyu Township 
Central Burma,Magway Region,Pakokku District,Yesagyo Township
Central Burma,Magway Region,Thayet District,Aunglan Township 
Central Burma,Magway Region,Thayet District,Kamma Township
Central Burma,Magway Region,Thayet District,Mindon Township 
Central Burma,Magway Region,Thayet District,Minhla Township 
Central Burma,Magway Region,Thayet District,Sinbaungwe Township 
Central Burma,Magway Region,Thayet District,Thayet Township
Central Burma,Mandalay Region,Kyaukse District,Kyaukse Township
Central Burma,Mandalay Region,Kyaukse District,Myittha Township
Central Burma,Mandalay Region,Kyaukse District,Sintgaing Township
Central Burma,Mandalay Region,Kyaukse District,Tada-U Township
Central Burma,Mandalay Region,Mandalay District,Amarapura Township
Central Burma,Mandalay Region,Mandalay District,Aungmyethazan Township
Central Burma,Mandalay Region,Mandalay District,Chanayethazan Township
Central Burma,Mandalay Region,Mandalay District,Chanmyathazi Township
Central Burma,Mandalay Region,Mandalay District,Mahaaungmye Township
Central Burma,Mandalay Region,Mandalay District,Patheingyi Township
Central Burma,Mandalay Region,Mandalay District,Pyigyidagun Township
Central Burma,Mandalay Region,Meiktila District,Mahlaing Township
Central Burma,Mandalay Region,Meiktila District,Meiktila Township
Central Burma,Mandalay Region,Meiktila District,Thazi Township
Central Burma,Mandalay Region,Meiktila District,Wundwin Township
Central Burma,Mandalay Region,Myingyan District,Kyaukpadaung Township
Central Burma,Mandalay Region,Myingyan District,Myingyan Township
Central Burma,Mandalay Region,Myingyan District,Natogyi Township
Central Burma,Mandalay Region,Myingyan District,Nganzun Township
Central Burma,Mandalay Region,Myingyan District,Thaungtha Township
Central Burma,Mandalay Region,Nyaung-U District,Nyaung-U Township
Central Burma,Mandalay Region,Pyin Oo Lwin District,Madaya Township
Central Burma,Mandalay Region,Pyin Oo Lwin District,Mogok Township
Central Burma,Mandalay Region,Pyin Oo Lwin District,Pyinoolwin Township
Central Burma,Mandalay Region,Pyin Oo Lwin District,Singu Township
Central Burma,Mandalay Region,Pyin Oo Lwin District,Thabeikkyin Township
Central Burma,Mandalay Region,Yamethin District,Pyawbwe Township
Central Burma,Mandalay Region,Yamethin District,Yamethin Township
Central Burma,Naypyidaw Union Territory,Naypyitaw District,Lewe Township
Central Burma,Naypyidaw Union Territory,Naypyitaw District,Pyinmana Township
Central Burma,Naypyidaw Union Territory,Naypyitaw District,Tatkon Township
Central Burma,Naypyidaw Union Territory,Naypyitaw District,Ottarathiri Township
Central Burma,Naypyidaw Union Territory,Naypyitaw District,Dekkhinathiri Township
Central Burma,Naypyidaw Union Territory,Naypyitaw District,Pobbathiri Township
Central Burma,Naypyidaw Union Territory,Naypyitaw District,Zabuthiri Township
Central Burma,Naypyidaw Union Territory,Naypyitaw District,Zeyathiri Township
East Burma,Kayah State,Bawlakhe District,Bawlakhe Township
East Burma,Kayah State,Bawlakhe District,Hpasawng Township
East Burma,Kayah State,Bawlakhe District,Mese Township
East Burma,Kayah State,Loikaw District,Loikaw Township
East Burma,Kayah State,Loikaw District,Demoso Township
East Burma,Kayah State,Loikaw District,Hpruso Township
East Burma,Kayah State,Loikaw District,Shadaw Township
East Burma,East Shan State,Kengtong District,Kengtung Township
East Burma,East Shan State,Kengtong District,Mong Khet Township
East Burma,East Shan State,Kengtong District,Mong Yang Township
East Burma,East Shan State,Mongsat District,Mong Hsat Township
East Burma,East Shan State,Mongsat District,Mong Ping Township
East Burma,East Shan State,Mongsat District,Mong Tong Township
East Burma,East Shan State,Mong Hpayak District,Mong Hpayak Township
East Burma,East Shan State,Mong Hpayak District,Mong Yawng Township
East Burma,East Shan State,Techilelk District,Tachileik Township
East Burma,East Shan State,Techilelk District,Kyaing Lap (Kenglap)
East Burma,North Shan State,Kunlong District,Kunlong Township
East Burma,North Shan State,Kunlong District,Hopang Township
East Burma,North Shan State,Kyaukme District,Kyaukme Township
East Burma,North Shan State,Kyaukme District,Nawnghkio Township
East Burma,North Shan State,Kyaukme District,Hsipaw Township
East Burma,North Shan State,Kyaukme District,Namtu Township
East Burma,North Shan State,Kyaukme District,Namhsan Township
East Burma,North Shan State,Kyaukme District,Mongmit Township
East Burma,North Shan State,Kyaukme District,Mabein Township
East Burma,North Shan State,Kyaukme District,Mantong Township
East Burma,North Shan State,Laukkaing District,Laukkaing Township
East Burma,North Shan State,Lashio District,Lashio Township
East Burma,North Shan State,Lashio District,Hseni Township
East Burma,North Shan State,Lashio District,Mongyai Township
East Burma,North Shan State,Lashio District,Tangyan Township 
East Burma,North Shan State,Muse District,Mu Se Township
East Burma,North Shan State,Muse District,Namhkam Township
East Burma,North Shan State,Muse District,Kutkai Township
East Burma,North Shan State,Hopang District (created on Sept. 2011),--
East Burma,North Shan State,Metman District,--
East Burma,North Shan State,Mongmit District,--
East Burma,South Shan State,Langkho District,Langkho Township
East Burma,South Shan State,Langkho District,Mong Nai Township
East Burma,South Shan State,Langkho District,Mawkmai Township
East Burma,South Shan State,Langkho District,Mong Pan Township
East Burma,South Shan State,Loilen District,Loilen Township
East Burma,South Shan State,Loilen District,Lai-Hka Township
East Burma,South Shan State,Loilen District,Nansang Township
East Burma,South Shan State,Loilen District,Kunhing Township
East Burma,South Shan State,Loilen District,Kyethi Township
East Burma,South Shan State,Loilen District,Mong Kung Township
East Burma,South Shan State,Loilen District,Mong Hsu Township
East Burma,South Shan State,Taunggyi District,Taunggyi Township
East Burma,South Shan State,Taunggyi District,Nyaungshwe Township
East Burma,South Shan State,Taunggyi District,Hopong Township
East Burma,South Shan State,Taunggyi District,Hsi Hseng Township
East Burma,South Shan State,Taunggyi District,Kalaw Township
East Burma,South Shan State,Taunggyi District,Pingdaya Township
East Burma,South Shan State,Taunggyi District,Ywangan Township
East Burma,South Shan State,Taunggyi District,Lawksawk Township
East Burma,South Shan State,Taunggyi District,Pinlaung Township
East Burma,South Shan State,Taunggyi District,Pekon Township
Lower Burma,Ayeyarwady Region,Hinthada District,Hinthada Township
Lower Burma,Ayeyarwady Region,Hinthada District,Zalun Township
Lower Burma,Ayeyarwady Region,Hinthada District,Laymyethna Township
Lower Burma,Ayeyarwady Region,Hinthada District,Myanaung Township
Lower Burma,Ayeyarwady Region,Hinthada District,Kyangin Township
Lower Burma,Ayeyarwady Region,Hinthada District,Ingapu Township
Lower Burma,Ayeyarwady Region,Labutta District,Labutta Township
Lower Burma,Ayeyarwady Region,Labutta District,Mawlamyinegyun Township
Lower Burma,Ayeyarwady Region,Maubin District,Ma-ubin Township
Lower Burma,Ayeyarwady Region,Maubin District,Pantanaw Township
Lower Burma,Ayeyarwady Region,Maubin District,Nyaungdon Township
Lower Burma,Ayeyarwady Region,Maubin District,Danuphyu Township
Lower Burma,Ayeyarwady Region,Myaungmya District,Myaungmya Township
Lower Burma,Ayeyarwady Region,Myaungmya District,Einme Township
Lower Burma,Ayeyarwady Region,Myaungmya District,Wakema Township 
Lower Burma,Ayeyarwady Region,Pathein District,Pathein Township
Lower Burma,Ayeyarwady Region,Pathein District,Kangyidaunk Township
Lower Burma,Ayeyarwady Region,Pathein District,Thabaung Township
Lower Burma,Ayeyarwady Region,Pathein District,Ngapudaw Township
Lower Burma,Ayeyarwady Region,Pathein District,Kyonpyaw Township
Lower Burma,Ayeyarwady Region,Pathein District,Yekyi Township
Lower Burma,Ayeyarwady Region,Pathein District,Kyaunggon Township
Lower Burma,Ayeyarwady Region,Pyapon District,Pyapon Township
Lower Burma,Ayeyarwady Region,Pyapon District,Bogale Township
Lower Burma,Ayeyarwady Region,Pyapon District,Kyaiklat Township
Lower Burma,Ayeyarwady Region,Pyapon District,Dedaye Township
Lower Burma,Ayeyarwady Region,Kyonpyaw District,--
Lower Burma,Ayeyarwady Region,Myanaung District,--
Lower Burma,East Bago Region,Bago District,Bago Township 
Lower Burma,East Bago Region,Bago District,Kawa Township
Lower Burma,East Bago Region,Bago District,Thanatpin Township
Lower Burma,East Bago Region,Bago District,Waw Township
Lower Burma,East Bago Region,Bago District,Daik-U Township
Lower Burma,East Bago Region,Bago District,Nyaunglebin Township
Lower Burma,East Bago Region,Bago District,Shwegyin Township
Lower Burma,East Bago Region,Taungoo District,Taungoo Township
Lower Burma,East Bago Region,Taungoo District,Oktwin Township
Lower Burma,East Bago Region,Taungoo District,Tantabin Township
Lower Burma,East Bago Region,Taungoo District,Yedashe Township
Lower Burma,East Bago Region,Taungoo District,Pyu Township
Lower Burma,East Bago Region,Taungoo District,Kyauktaga Township
Lower Burma,East Bago Region,Taungoo District,Kyaukkyi Township
Lower Burma,West Bago Ragion,Pyay District,Pyay Township
Lower Burma,West Bago Ragion,Pyay District,Pauk Kaung Township
Lower Burma,West Bago Ragion,Pyay District,Thegon Township
Lower Burma,West Bago Ragion,Pyay District,Shwedaung Township
Lower Burma,West Bago Ragion,Pyay District,Padaung Township
Lower Burma,West Bago Ragion,Pyay District,Paungde Township
Lower Burma,West Bago Ragion,Pyay District,Nattalin Township
